사업번호,사업명,시작연도,종료연도,사업개요서링크
2022-00115,우간다 고속도로 통합 매뉴얼 개발 및 주요 시설물 관리시스템 구축 사업('22-'26/750만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00115
2022-00114,콜롬비아 2개 분쟁피해지역(PDET)의 가치사슬 강화를 통한 소농 소득 증대사업(UNDP)('22-'27/940만불)),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00114
2022-00103,우간다 농산업발전을 위한 청년 역량강화사업('22-'27/500만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00103
2022-00097,베트남 한베 ICT 대학교 교육역량 강화 지원 사업('22-'27/770만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00097
2022-00094,"베트남 지뢰/불발탄 제거를 통한 중부지역 평화마을 조성 사업(UNDP)('22-'26/2,500만불)",2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00094
2022-00092,이라크 변압기 정비소 현대화 및 기술인력 역량강화 사업 ('22-'26/500만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00092
2022-00089,라오스 디지털혁신중소기업학과 설립 및 전문인력양성 기반 구축 사업('22-'26/500만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00089
2022-00085,필리핀 스마트농업을 적용한 서비사야스 지역 고소득작물 가치사슬 강화사업('22-'27/800만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00085
2022-00084,"인도네시아 재난대응 공공의료 훈련 역량강화사업('22-'25/1,200만불)",2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00084
2022-00082,이라크 니나와주 취약계층 청년 취업역량 강화 사업(UNESCO)('22-'26/550만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00082
2022-00079,인도네시아 사이버보안 전문인력양성 역량강화사업('22-'26/740만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00079
2022-00076,"피지 국립재활센터 건립사업('22-'27/1,000만불)",2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00076
2022-00070,"라오스 불발탄 분야 지속가능성 확보사업(UNDP)('22-'26/1,100만불)",2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00070
2022-00069,"필리핀 기마라스주 지속가능한 스마트 수산양식장 구축 사업('22-'26/1,000만불)",2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00069
2022-00066,필리핀 남부레이테 및 사마르 주 청소년 성생식 보건 개선사업 (UNFPA-UNICEF-WHO)('22-'26/650만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00066
2022-00065,"필리핀 마카티시 스마트 대중교통체계 구축사업('22-'25/1,300만불)",2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00065
2022-00061,방글라데시 디지털 지방자치 행정서비스 시스템 구축 확대사업('22-'26/800만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00061
2022-00058,페루 쿠스코시 폐기물 통합관리체계 구축 및 자원순환 선진화 사업('22-'27/450만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00058
